,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
96,HOU @ TEN,Amari Rodgers,3400,,,,,,,,,,,,,,,,,,,,
97,CIN @ NE,Nelson Agholor,3300,,,,,,,,,,,,,,,,,,,,
98,NYG @ MIN,Kenny Golladay,3300,,,,,,,,,,,,,,,,,,,,
99,ATL @ BAL,Olamide Zaccheaus,3300,,,,,,,,,,,,,,,,,,,,
100,CIN @ NE,Trenton Irwin,3300,,,,,,,,,,,,,,,,,,,,
101,DET @ CAR,Laviska Shenault Jr.,3200,,,,,,,,,,,,,,,,,,,,
102,LAC @ IND,Ashton Dulin,3200,,,,,,,,,,,,,,,,,,,,
103,ATL @ BAL,DeSean Jackson,3200,,,,,,,,,,,,,,,,,,,,
104,PHI @ DAL,T.Y. Hilton,3200,,,,,,,,,,,,,,,,,,,,
105,JAC @ NYJ,Jamal Agnew,3200,,,,,,,,,,,,,,,,,,,,
106,GB @ MIA,Trent Sherfield,3200,,,,,,,,,,,,,,,,,,,,
107,BUF @ CHI,Dante Pettis,3200,,,,,,,,,,,,,,,,,,,,
108,GB @ MIA,Samori Toure,3200,,,,,,,,,,,,,,,,,,,,
109,TB @ ARI,A.J. Green,3100,,,,,,,,,,,,,,,,,,,,
110,HOU @ TEN,Phillip Dorsett,3100,,,,,,,,,,,,,,,,,,,,
111,PHI @ DAL,Zach Pascal,3100,,,,,,,,,,,,,,,,,,,,
112,DET @ CAR,Kalif Raymond,3100,,,,,,,,,,,,,,,,,,,,
113,BUF @ CHI,Byron Pringle,3100,,,,,,,,,,,,,,,,,,,,
114,NO @ CLE,Mike Harley Jr.,3000,,,,,,,,,,,,,,,,,,,,
115,NYG @ MIN,Blake Proehl,3000,,,,,,,,,,,,,,,,,,,,
116,HOU @ TEN,Reggie Roberson Jr.,3000,,,,,,,,,,,,,,,,,,,,
117,WAS @ SF,Kyric McGowan,3000,,,,,,,,,,,,,,,,,,,,
118,DEN @ LAR,Lance McCutcheon,3000,,,,,,,,,,,,,,,,,,,,
119,NO @ CLE,Jaelon Darden,3000,,,,,,,,,,,,,,,,,,,,
